GEO.id,GEO.id2,GEO.display-label,est72017sex1_age999,est72017sex2_age999,est72018sex0_age999,est72018sex1_age999,est72018sex2_age999,est72017sex1_age0to4,est72017sex2_age0to4,est72018sex0_age0to4,est72018sex1_age0to4,est72018sex2_age0to4,est72017sex1_age5to9,est72017sex2_age5to9,est72018sex0_age5to9,est72018sex1_age5to9,est72018sex2_age5to9,est72017sex1_age10to14,est72017sex2_age10to14,est72018sex0_age10to14,est72018sex1_age10to14,est72018sex2_age10to14,est72017sex1_age15to19,est72017sex2_age15to19,est72018sex0_age15to19,est72018sex1_age15to19,est72018sex2_age15to19,est72017sex1_age20to24,est72017sex2_age20to24,est72018sex0_age20to24,est72018sex1_age20to24,est72018sex2_age20to24,est72017sex1_age25to29,est72017sex2_age25to29,est72018sex0_age25to29,est72018sex1_age25to29,est72018sex2_age25to29,est72017sex1_age30to34,est72017sex2_age30to34,est72018sex0_age30to34,est72018sex1_age30to34,est72018sex2_age30to34,est72017sex1_age35to39,est72017sex2_age35to39,est72018sex0_age35to39,est72018sex1_age35to39,est72018sex2_age35to39,est72017sex1_age40to44,est72017sex2_age40to44,est72018sex0_age40to44,est72018sex1_age40to44,est72018sex2_age40to44,est72017sex1_age45to49,est72017sex2_age45to49,est72018sex0_age45to49,est72018sex1_age45to49,est72018sex2_age45to49,est72017sex1_age50to54,est72017sex2_age50to54,est72018sex0_age50to54,est72018sex1_age50to54,est72018sex2_age50to54,est72017sex1_age55to59,est72017sex2_age55to59,est72018sex0_age55to59,est72018sex1_age55to59,est72018sex2_age55to59,est72017sex1_age60to64,est72017sex2_age60to64,est72018sex0_age60to64,est72018sex1_age60to64,est72018sex2_age60to64,est72017sex1_age65to69,est72017sex2_age65to69,est72018sex0_age65to69,est72018sex1_age65to69,est72018sex2_age65to69,est72017sex1_age70to74,est72017sex2_age70to74,est72018sex0_age70to74,est72018sex1_age70to74,est72018sex2_age70to74,est72017sex1_age75to79,est72017sex2_age75to79,est72018sex0_age75to79,est72018sex1_age75to79,est72018sex2_age75to79,est72017sex1_age80to84,est72017sex2_age80to84,est72018sex0_age80to84,est72018sex1_age80to84,est72018sex2_age80to84,est72017sex1_age85plus,est72017sex2_age85plus,est72018sex0_age85plus,est72018sex1_age85plus,est72018sex2_age85plus,est72017sex1_age0to17,est72017sex2_age0to17,est72018sex0_age0to17,est72018sex1_age0to17,est72018sex2_age0to17,est72017sex1_age5to13,est72017sex2_age5to13,est72018sex0_age5to13,est72018sex1_age5to13,est72018sex2_age5to13,est72017sex1_age18to64,est72017sex2_age18to64,est72018sex0_age18to64,est72018sex1_age18to64,est72018sex2_age18to64,est72017sex1_age25to44,est72017sex2_age25to44,est72018sex0_age25to44,est72018sex1_age25to44,est72018sex2_age25to44,est72017sex1_age18plus,est72017sex2_age18plus,est72018sex0_age18plus,est72018sex1_age18plus,est72018sex2_age18plus,est72017sex1_medage,est72017sex2_medage,est72018sex0_medage,est72018sex1_medage,est72018sex2_medage
Id,Id2,Geography,Population Estimate (as of July 1) - 2017 - Male; Total,Population Estimate (as of July 1) - 2017 - Female; Total,Population Estimate (as of July 1) - 2018 - Both Sexes; Total,Population Estimate (as of July 1) - 2018 - Male; Total,Population Estimate (as of July 1) - 2018 - Female; Total,Population Estimate (as of July 1) - 2017 - Male; Total - Under 5 years,Population Estimate (as of July 1) - 2017 - Female; Total - Under 5 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - Under 5 years,Population Estimate (as of July 1) - 2018 - Male; Total - Under 5 years,Population Estimate (as of July 1) - 2018 - Female; Total - Under 5 years,Population Estimate (as of July 1) - 2017 - Male; Total - 5 to 9 years,Population Estimate (as of July 1) - 2017 - Female; Total - 5 to 9 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 5 to 9 years,Population Estimate (as of July 1) - 2018 - Male; Total - 5 to 9 years,Population Estimate (as of July 1) - 2018 - Female; Total - 5 to 9 years,Population Estimate (as of July 1) - 2017 - Male; Total - 10 to 14 years,Population Estimate (as of July 1) - 2017 - Female; Total - 10 to 14 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 10 to 14 years,Population Estimate (as of July 1) - 2018 - Male; Total - 10 to 14 years,Population Estimate (as of July 1) - 2018 - Female; Total - 10 to 14 years,Population Estimate (as of July 1) - 2017 - Male; Total - 15 to 19 years,Population Estimate (as of July 1) - 2017 - Female; Total - 15 to 19 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 15 to 19 years,Population Estimate (as of July 1) - 2018 - Male; Total - 15 to 19 years,Population Estimate (as of July 1) - 2018 - Female; Total - 15 to 19 years,Population Estimate (as of July 1) - 2017 - Male; Total - 20 to 24 years,Population Estimate (as of July 1) - 2017 - Female; Total - 20 to 24 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 20 to 24 years,Population Estimate (as of July 1) - 2018 - Male; Total - 20 to 24 years,Population Estimate (as of July 1) - 2018 - Female; Total - 20 to 24 years,Population Estimate (as of July 1) - 2017 - Male; Total - 25 to 29 years,Population Estimate (as of July 1) - 2017 - Female; Total - 25 to 29 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 25 to 29 years,Population Estimate (as of July 1) - 2018 - Male; Total - 25 to 29 years,Population Estimate (as of July 1) - 2018 - Female; Total - 25 to 29 years,Population Estimate (as of July 1) - 2017 - Male; Total - 30 to 34 years,Population Estimate (as of July 1) - 2017 - Female; Total - 30 to 34 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 30 to 34 years,Population Estimate (as of July 1) - 2018 - Male; Total - 30 to 34 years,Population Estimate (as of July 1) - 2018 - Female; Total - 30 to 34 years,Population Estimate (as of July 1) - 2017 - Male; Total - 35 to 39 years,Population Estimate (as of July 1) - 2017 - Female; Total - 35 to 39 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 35 to 39 years,Population Estimate (as of July 1) - 2018 - Male; Total - 35 to 39 years,Population Estimate (as of July 1) - 2018 - Female; Total - 35 to 39 years,Population Estimate (as of July 1) - 2017 - Male; Total - 40 to 44 years,Population Estimate (as of July 1) - 2017 - Female; Total - 40 to 44 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 40 to 44 years,Population Estimate (as of July 1) - 2018 - Male; Total - 40 to 44 years,Population Estimate (as of July 1) - 2018 - Female; Total - 40 to 44 years,Population Estimate (as of July 1) - 2017 - Male; Total - 45 to 49 years,Population Estimate (as of July 1) - 2017 - Female; Total - 45 to 49 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 45 to 49 years,Population Estimate (as of July 1) - 2018 - Male; Total - 45 to 49 years,Population Estimate (as of July 1) - 2018 - Female; Total - 45 to 49 years,Population Estimate (as of July 1) - 2017 - Male; Total - 50 to 54 years,Population Estimate (as of July 1) - 2017 - Female; Total - 50 to 54 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 50 to 54 years,Population Estimate (as of July 1) - 2018 - Male; Total - 50 to 54 years,Population Estimate (as of July 1) - 2018 - Female; Total - 50 to 54 years,Population Estimate (as of July 1) - 2017 - Male; Total - 55 to 59 years,Population Estimate (as of July 1) - 2017 - Female; Total - 55 to 59 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 55 to 59 years,Population Estimate (as of July 1) - 2018 - Male; Total - 55 to 59 years,Population Estimate (as of July 1) - 2018 - Female; Total - 55 to 59 years,Population Estimate (as of July 1) - 2017 - Male; Total - 60 to 64 years,Population Estimate (as of July 1) - 2017 - Female; Total - 60 to 64 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 60 to 64 years,Population Estimate (as of July 1) - 2018 - Male; Total - 60 to 64 years,Population Estimate (as of July 1) - 2018 - Female; Total - 60 to 64 years,Population Estimate (as of July 1) - 2017 - Male; Total - 65 to 69 years,Population Estimate (as of July 1) - 2017 - Female; Total - 65 to 69 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 65 to 69 years,Population Estimate (as of July 1) - 2018 - Male; Total - 65 to 69 years,Population Estimate (as of July 1) - 2018 - Female; Total - 65 to 69 years,Population Estimate (as of July 1) - 2017 - Male; Total - 70 to 74 years,Population Estimate (as of July 1) - 2017 - Female; Total - 70 to 74 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 70 to 74 years,Population Estimate (as of July 1) - 2018 - Male; Total - 70 to 74 years,Population Estimate (as of July 1) - 2018 - Female; Total - 70 to 74 years,Population Estimate (as of July 1) - 2017 - Male; Total - 75 to 79 years,Population Estimate (as of July 1) - 2017 - Female; Total - 75 to 79 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 75 to 79 years,Population Estimate (as of July 1) - 2018 - Male; Total - 75 to 79 years,Population Estimate (as of July 1) - 2018 - Female; Total - 75 to 79 years,Population Estimate (as of July 1) - 2017 - Male; Total - 80 to 84 years,Population Estimate (as of July 1) - 2017 - Female; Total - 80 to 84 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 80 to 84 years,Population Estimate (as of July 1) - 2018 - Male; Total - 80 to 84 years,Population Estimate (as of July 1) - 2018 - Female; Total - 80 to 84 years,Population Estimate (as of July 1) - 2017 - Male; Total - 85 years and over,Population Estimate (as of July 1) - 2017 - Female; Total - 85 years and over,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 85 years and over,Population Estimate (as of July 1) - 2018 - Male; Total - 85 years and over,Population Estimate (as of July 1) - 2018 - Female; Total - 85 years and over,Population Estimate (as of July 1) - 2017 - Male; Under 18 years,Population Estimate (as of July 1) - 2017 - Female; Under 18 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Under 18 years,Population Estimate (as of July 1) - 2018 - Male; Under 18 years,Population Estimate (as of July 1) - 2018 - Female; Under 18 years,Population Estimate (as of July 1) - 2017 - Male; Under 18 years - 5 to 13 years,Population Estimate (as of July 1) - 2017 - Female; Under 18 years - 5 to 13 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Under 18 years - 5 to 13 years,Population Estimate (as of July 1) - 2018 - Male; Under 18 years - 5 to 13 years,Population Estimate (as of July 1) - 2018 - Female; Under 18 years - 5 to 13 years,Population Estimate (as of July 1) - 2017 - Male; 18 to 64 years,Population Estimate (as of July 1) - 2017 - Female; 18 to 64 years,Population Estimate (as of July 1) - 2018 - Both Sexes; 18 to 64 years,Population Estimate (as of July 1) - 2018 - Male; 18 to 64 years,Population Estimate (as of July 1) - 2018 - Female; 18 to 64 years,Population Estimate (as of July 1) - 2017 - Male; 18 to 64 years - 25 to 44 years,Population Estimate (as of July 1) - 2017 - Female; 18 to 64 years - 25 to 44 years,Population Estimate (as of July 1) - 2018 - Both Sexes; 18 to 64 years - 25 to 44 years,Population Estimate (as of July 1) - 2018 - Male; 18 to 64 years - 25 to 44 years,Population Estimate (as of July 1) - 2018 - Female; 18 to 64 years - 25 to 44 years,Population Estimate (as of July 1) - 2017 - Male; 18 years and over,Population Estimate (as of July 1) - 2017 - Female; 18 years and over,Population Estimate (as of July 1) - 2018 - Both Sexes; 18 years and over,Population Estimate (as of July 1) - 2018 - Male; 18 years and over,Population Estimate (as of July 1) - 2018 - Female; 18 years and over,Population Estimate (as of July 1) - 2017 - Male; Median age (years),Population Estimate (as of July 1) - 2017 - Female; Median age (years),Population Estimate (as of July 1) - 2018 - Both Sexes; Median age (years),Population Estimate (as of July 1) - 2018 - Male; Median age (years),Population Estimate (as of July 1) - 2018 - Female; Median age (years)
0500000US53001,53001,"Adams County, Washington",9978,9703,19759,10009,9750,950,984,1907,937,970,1119,1017,2136,1132,1004,990,914,1932,1010,922,778,812,1616,794,822,736,646,1363,714,649,639,600,1247,646,601,657,573,1231,653,578,547,587,1135,553,582,559,537,1069,525,544,529,497,1029,528,501,514,457,959,491,468,466,486,974,491,483,460,494,976,466,510,357,378,755,375,380,278,276,581,297,284,178,176,371,183,188,106,133,236,104,132,115,136,242,110,132,3544,3427,7004,3583,3421,1920,1743,3731,1958,1773,5400,5177,10570,5357,5213,2402,2297,4682,2377,2305,6434,6276,12755,6426,6329,28.1,28.9,28.6,28.0,29.1
0500000US53003,53003,"Asotin County, Washington",10937,11570,22610,11023,11587,606,553,1165,612,553,597,651,1259,624,635,689,665,1344,679,665,643,622,1236,609,627,529,519,1031,534,497,638,664,1333,653,680,628,683,1284,640,644,648,633,1303,640,663,585,610,1236,614,622,644,652,1256,615,641,690,695,1337,663,674,790,958,1690,791,899,869,943,1864,858,1006,740,802,1575,779,796,617,690,1316,609,707,447,509,1033,492,541,311,357,695,324,371,266,364,653,287,366,2302,2296,4588,2310,2278,1161,1179,2318,1152,1166,6254,6552,12750,6222,6528,2499,2590,5156,2547,2609,8635,9274,18022,8713,9309,44.1,46.6,45.5,44.3,46.9
0500000US53005,53005,"Benton County, Washington",99477,98976,201877,101150,100727,7302,6970,14468,7442,7026,7816,7446,15378,7868,7510,7658,7196,15296,7884,7412,7006,6494,13661,7107,6554,6135,5898,12103,6231,5872,6795,6624,13742,6982,6760,7042,6710,13822,7008,6814,6750,6581,13793,6932,6861,5854,5513,11703,6014,5689,5741,5707,11454,5766,5688,5843,5934,11575,5733,5842,6285,6498,12597,6162,6435,5845,6149,12188,5966,6222,5029,5027,10393,5160,5233,3543,3817,7758,3703,4055,2291,2586,5262,2489,2773,1346,1766,3327,1475,1852,1196,2060,3357,1228,2129,27275,25950,54000,27738,26262,13975,13257,27755,14232,13523,58797,57770,117780,59357,58423,26441,25428,53060,26936,26124,72202,73026,147877,73412,74465,35.0,36.6,35.9,35.0,36.8
0500000US53007,53007,"Chelan County, Washington",38249,38230,77036,38521,38515,2509,2356,4820,2510,2310,2703,2526,5152,2647,2505,2598,2332,5020,2650,2370,2445,2344,4758,2433,2325,2285,2106,4386,2233,2153,2548,2371,4945,2640,2305,2369,2331,4692,2353,2339,2376,2317,4825,2437,2388,2049,2093,4264,2080,2184,2120,2102,4157,2089,2068,2327,2303,4506,2284,2222,2579,2746,5267,2547,2720,2658,2811,5548,2688,2860,2405,2360,4929,2462,2467,1726,1814,3723,1820,1903,1126,1265,2524,1191,1333,753,884,1674,769,905,673,1169,1846,688,1158,9389,8730,18022,9349,8673,4807,4404,9198,4790,4408,22177,22008,44318,22242,22076,9342,9112,18726,9510,9216,28860,29500,59014,29172,29842,38.3,41.0,39.9,38.6,41.2
0500000US53009,53009,"Clallam County, Washington",37368,38344,76737,37842,38895,1886,1656,3534,1859,1675,1861,1840,3737,1882,1855,1832,1777,3595,1819,1776,1903,1695,3488,1826,1662,1941,1481,3446,1921,1525,2223,2016,4229,2272,1957,2088,1897,4129,2166,1963,2070,1910,4064,2116,1948,1739,1752,3587,1821,1766,1864,1828,3686,1824,1862,1978,2134,4016,1929,2087,2641,3073,5652,2593,3059,3153,3681,6854,3214,3640,3342,3739,7317,3423,3894,2704,3022,5963,2791,3172,1885,1962,4214,2058,2156,1210,1266,2573,1271,1302,1048,1615,2653,1057,1596,6743,6379,13055,6692,6363,3322,3267,6591,3328,3263,20436,20361,40962,20550,20412,8120,7575,16009,8375,7634,30625,31965,63682,31150,32532,48.1,53.3,51.1,48.5,53.6
0500000US53011,53011,"Clark County, Washington",234576,239916,481857,238118,243739,15193,14297,29559,15371,14188,16291,15720,31868,16126,15742,17128,16438,33648,17139,16509,16087,15037,31304,16065,15239,14030,13356,27851,14234,13617,16333,15652,32594,16696,15898,15071,15388,31466,15624,15842,15808,16493,32838,16153,16685,15159,15678,31483,15468,16015,16307,15958,32261,16190,16071,15130,15830,30808,15129,15679,15653,16144,32032,15731,16301,14098,15245,29615,14274,15341,12104,13600,26333,12394,13939,8921,10102,20376,9531,10845,5585,6266,12857,6034,6823,3046,3942,7425,3243,4182,2632,4770,7539,2716,4823,59000,56531,115356,58874,56482,29957,28807,58752,29808,28944,143288,144705,291971,145326,146645,62371,63211,128381,63941,64440,175576,183385,366501,179244,187257,37.3,39.3,38.5,37.4,39.4
0500000US53013,53013,"Columbia County, Washington",1962,2061,4059,1982,2077,102,104,205,101,104,101,84,212,117,95,105,116,211,109,102,115,112,204,100,104,77,84,174,79,95,91,126,218,89,129,90,109,192,80,112,114,105,225,117,108,72,87,170,91,79,118,105,219,120,99,140,138,263,132,131,141,151,314,146,168,162,160,321,159,162,175,175,362,170,192,133,148,276,140,136,103,111,220,104,116,65,61,140,77,63,58,85,133,51,82,388,370,765,390,375,188,173,382,203,179,1040,1111,2163,1050,1113,367,427,805,377,428,1574,1691,3294,1592,1702,49.8,49.9,50.0,49.6,50.4
0500000US53015,53015,"Cowlitz County, Washington",52932,53968,108987,53938,55049,3381,3220,6749,3470,3279,3369,3311,6886,3458,3428,3493,3417,7004,3575,3429,3323,3248,6692,3345,3347,2944,2955,5878,2975,2903,3412,3494,7112,3494,3618,3076,3007,6317,3168,3149,3213,3191,6614,3312,3302,3040,2991,6290,3183,3107,3337,3297,6635,3366,3269,3387,3462,6693,3309,3384,3890,3909,7699,3803,3896,3759,3806,7792,3857,3935,3207,3497,6787,3245,3542,2571,2729,5580,2698,2882,1760,1835,3804,1845,1959,941,1192,2219,996,1223,829,1407,2236,839,1397,12429,12104,25037,12671,12366,6179,6003,12544,6332,6212,31195,31204,63324,31644,31680,12741,12683,26333,13157,13176,40503,41864,83950,41267,42683,40.4,41.9,40.9,40.3,41.7
0500000US53017,53017,"Douglas County, Washington",21321,20846,42907,21740,21167,1450,1293,2811,1450,1361,1718,1552,3153,1645,1508,1542,1578,3233,1646,1587,1522,1384,2911,1518,1393,1338,1225,2550,1359,1191,1332,1104,2674,1436,1238,1356,1251,2685,1406,1279,1299,1292,2633,1360,1273,1231,1215,2485,1259,1226,1263,1192,2460,1244,1216,1207,1205,2368,1178,1190,1358,1335,2683,1376,1307,1321,1369,2723,1347,1376,1112,1249,2383,1121,1262,902,990,2007,918,1089,681,630,1412,734,678,392,447,870,431,439,297,535,866,312,554,5654,5307,11064,5705,5359,2954,2788,5814,3020,2794,12283,11688,24305,12519,11786,5218,4862,10477,5461,5016,15667,15539,31843,16035,15808,36.4,39.0,37.6,36.4,38.9
0500000US53019,53019,"Ferry County, Washington",3892,3698,7649,3909,3740,195,180,367,194,173,183,158,365,185,180,197,171,362,200,162,279,172,442,272,170,206,167,365,204,161,159,165,338,170,168,180,169,332,168,164,172,192,361,178,183,232,172,407,218,189,199,231,464,223,241,218,262,448,197,251,297,321,608,297,311,357,370,708,337,371,409,385,797,401,396,259,244,534,281,253,206,153,401,230,171,88,78,174,92,82,56,108,176,62,114,713,612,1333,712,621,347,292,655,338,317,2161,2118,4234,2131,2103,743,698,1438,734,704,3179,3086,6316,3197,3119,48.6,51.5,50.3,48.7,51.7
