County,Case Count,Deaths,Negatives
Baker,385,4,0
Benton,1190,9,0
Clackamas,8831,106,0
Clatsop,481,2,0
Columbia,719,8,0
Coos,632,4,0
Crook,378,6,0
Curry,234,2,0
Deschutes,3443,19,0
Douglas,1253,36,0
Gilliam,31,1,0
Grant,164,1,0
Harney,122,1,0
Hood River,670,8,0
Jackson,5191,55,0
Jefferson,1230,12,0
Josephine,936,16,0
Klamath,1539,13,0
Lake,180,4,0
Lane,5992,79,0
Lincoln,799,16,0
Linn,2275,31,0
Malheur,2687,49,0
Marion,12184,192,0
Morrow,764,7,0
Multnomah,22652,348,0
Polk,1695,24,0
Sherman,29,0,0
Tillamook,239,0,0
Umatilla,5073,54,0
Union,935,12,0
Wallowa,76,3,0
Wasco,751,20,0
Washington,14217,131,0
Wheeler,12,0,0
Yamhill,2319,31,0
Total,100308,1304,0